card1,card2,card3,card4,card5,card6,result
QC,9C,KS,QD,JD,8H,loss
6H,TS,QH,TH,8C,8H,loss
TS,6D,AH,9S,TD,TH,win
TH,6S,JC,9H,8H,6C,loss
KD,9H,QH,KH,KS,QD,win
AC,JS,QH,KS,TS,7C,win
JC,TD,9S,JS,QH,JH,win
AD,9H,JS,TS,7D,9D,win
QD,KD,JS,8S,9H,KS,win
6C,JS,KS,QH,TD,6S,loss
QD,AH,9S,7H,KH,QC,loss
KH,JH,KC,8S,AC,9H,win
JC,8D,KS,9S,9H,7C,loss
QS,6C,QD,7C,TH,AH,win
AS,6D,6S,9C,TH,7C,win
AS,6D,7S,7D,TC,9H,loss
TS,TD,KH,6H,KS,6D,win
AS,6C,KS,6H,9D,KD,loss
9C,QS,9H,8S,8C,7S,win
AH,KH,TS,6C,TD,8C,loss
TC,8S,8C,QC,QS,6S,win
8C,AS,6S,AD,7H,KS,win
TD,7D,AH,9C,7C,6S,win
6H,AH,QD,KD,6D,9D,loss
7S,6S,TS,JD,7C,QD,loss
7C,AC,JH,6S,QC,TC,loss
6H,QS,8D,8H,QD,JD,win
6D,JD,JH,JC,6S,8S,win
6C,KC,JH,TH,9S,QH,loss
8D,6H,TS,AC,AH,8C,win
KS,KC,QC,JC,8S,KD,win
6D,8S,JH,6H,TD,9D,win
AH,TS,KD,6C,6D,TH,win
KS,QC,TD,QD,TS,JD,win
7S,6H,QC,6S,AS,KD,loss
7S,QD,TD,JD,AH,6D,loss
TH,KH,QC,QH,8C,7D,loss
7S,AS,KS,QS,TS,QH,win
7C,7D,QS,9S,6D,JH,loss
6S,TD,AS,QH,QS,8D,loss
7D,AS,JC,QS,9S,JH,win
9H,QS,AC,6H,8S,TS,loss
KD,JD,TS,TC,6D,8D,loss
8S,9C,TC,KH,6H,9D,loss
QS,QC,KH,KD,6D,TS,loss
9S,JH,TC,JD,9C,KH,win
6S,AS,7S,TH,KC,JD,loss
7C,9S,KC,7S,JC,JH,loss
9D,7D,7C,6C,KC,9C,loss
8S,6H,6D,7H,JH,KC,loss
QS,TD,8H,AC,KD,JH,win
6H,QC,7S,JH,AD,9S,loss
9S,QH,8C,7D,QD,JC,win
QC,KD,JC,8H,JD,QH,loss
8D,7C,TC,6C,9D,KH,win
9C,KD,6H,7C,8D,TD,win
8S,AS,6C,8H,AD,9H,loss
TC,9H,KC,KS,7C,QD,loss
TC,7S,6H,JS,KC,8D,loss
8D,JD,TC,KH,8S,TH,win
QC,6C,6H,9C,8S,AS,loss
6C,KH,TS,AH,KS,9C,loss
9S,9C,JD,TH,8H,7H,win
KH,KC,QD,6C,JD,AS,loss
JS,6C,JD,6D,9H,AS,win
QD,TS,7H,9H,TD,8S,win
6D,9S,TH,QD,TC,8H,win
JS,6S,9C,AS,TH,QD,win
8S,JD,6D,KS,8C,8D,win
QC,QS,7H,KH,6C,QH,win
9D,TS,TH,6C,7C,8H,win
TS,8H,6H,8D,9H,AD,loss
AH,JS,7D,9H,8C,6H,loss
AS,JH,JD,JS,TD,AH,win
QC,TD,6C,QD,JH,6H,win
AS,QC,9C,AH,TS,7D,win
KS,9H,7H,JH,QC,8C,loss
6S,QD,9H,TH,7S,JS,loss
9D,6H,TD,KH,7D,8H,win
KC,9S,AC,9C,KH,TH,loss
TS,QS,6H,QC,QH,9S,win
JH,TC,KH,JC,JD,TS,win
QC,8D,7D,TC,AC,9S,loss
AD,6H,8C,TD,TS,AC,loss
9H,9S,8S,QD,QH,JH,win
QD,JS,6D,AS,QS,7H,win
9H,JC,JD,AS,AD,JH,win
8H,6H,7S,TD,JH,8D,win
KC,AS,QS,7D,TH,QD,loss
9H,TH,QD,6S,8C,9D,win
7S,QC,JC,TD,AD,JS,loss
8D,9H,6S,AH,KS,TH,loss
AD,KS,7S,7C,JC,7D,loss
8C,9H,KS,TH,QH,9S,loss
TD,TH,9S,6S,AH,KH,loss
TC,7H,7D,8D,8C,AH,loss
QH,8H,8C,KC,KD,AH,win
AS,KH,6S,7C,JS,TH,loss
6C,TD,AD,TS,9H,KD,win
6S,6D,AC,TH,KD,7C,win
KD,8S,AH,6C,7C,6S,loss
KH,TC,8C,JS,AH,7D,win
9S,6H,KH,JD,JH,6D,loss
KS,QH,TC,JS,AS,8D,win
TC,6D,9C,9H,7C,7D,loss
JD,AD,9C,TD,6D,7S,win
AD,TD,7S,9S,KH,6H,loss
AC,AH,AS,9H,QS,TH,win
KD,KC,7C,8D,TC,QD,loss
AD,7D,QC,7S,6H,JD,loss
JC,6C,QD,JS,TH,QC,loss
JC,KC,QS,8C,JD,JS,win
AC,9S,TD,KH,6D,KD,loss
KH,6D,KC,AS,6C,KD,win
7S,8H,AD,KD,TD,KC,loss
JC,JH,KD,KC,TH,9C,loss
9S,AH,6H,KS,KD,JC,win
7S,TS,6C,QC,KC,JC,win
7H,AH,QC,TH,QD,KH,loss
6S,9S,7C,TD,6H,QD,win
6S,KD,KH,KC,TH,QC,win
9S,7D,AS,TH,9H,KS,loss
9H,9D,8C,TC,KD,7C,loss
7S,AC,TH,TC,8C,JC,loss
KS,JH,QD,QC,TC,AC,win
6D,7C,KC,8D,7H,6H,win
QH,7C,8S,TC,KD,JH,loss
6C,KC,AS,JH,AD,9C,loss
7H,QD,KH,8S,AC,TS,loss
7S,6S,8H,6C,7H,9C,loss
QH,9D,KD,9C,9H,8H,win
QC,JH,8C,8D,8S,9C,loss
6C,QC,8H,6D,8S,7C,loss
KS,8D,6C,QS,6D,KD,win
TS,AC,QH,6S,9C,JS,loss
7C,7H,7S,TD,KS,KH,win
8C,KD,6C,JD,TD,KC,win
TD,7H,6C,TS,8S,JC,win
QD,9D,6H,AS,AD,8H,win
8H,8C,7D,KD,6S,KS,loss
7D,KH,AD,8S,TD,8H,loss
JD,TH,QS,KC,AD,8S,win
AS,JH,6H,AC,9D,7H,win
6D,6S,TD,AS,9C,JC,loss
TD,7C,AD,KH,9D,6D,loss
9C,JD,8D,JS,QS,KS,loss
TC,KC,6C,AD,7H,7C,loss
QH,KH,TC,QD,9D,AC,loss
8D,JC,9C,TC,JH,6H,win
7S,JD,QS,9S,8H,9D,loss
JC,QH,7C,8D,QS,QC,win
6D,8D,KC,7C,AH,KD,loss
8H,KD,8D,6D,AS,JH,loss
7S,8S,6D,JC,8D,JH,win
9S,8D,6S,6C,8H,8S,win
JS,7D,8C,JH,TS,9D,win
AC,AS,7H,9S,8D,9H,loss
8D,JS,9D,AC,TH,QD,win
6D,TS,QC,AS,8D,8C,loss
6C,TS,QD,8S,9C,9H,loss
8D,9C,QC,6S,AC,QS,loss
KD,JH,QS,QC,QD,TS,win
JD,AS,7D,8C,QS,TH,loss
KD,AD,QC,9H,QD,9D,win
JS,TD,JC,QC,AS,JD,win
JH,7H,AC,JC,8C,7S,loss
AC,KC,KH,QS,KS,TH,win
6H,QC,6S,TH,9S,6C,win
7D,9C,7C,9H,QC,AH,loss
9H,JS,JD,7S,8C,AH,win
KD,AH,AD,AS,9C,KC,win
7C,9C,9H,7S,7H,AD,win
7S,QH,KH,8H,7D,QD,win
JD,9H,7S,9C,QC,9D,win
KC,7H,TC,QC,TD,7C,loss
8D,8S,9H,KS,QD,6D,win
QS,9S,6S,TH,QH,QD,win
AD,7S,6D,8D,7C,KS,loss
QC,9C,QD,QH,KS,9H,win
7S,7H,7C,9S,6D,TD,win
QH,7S,JD,9H,AS,9S,win
QS,6S,6D,9C,TS,AH,win
KH,AS,KS,9S,9H,AD,loss
KC,QC,QS,7S,QH,AD,win
KS,6S,7H,6C,TC,AD,loss
TH,7C,KC,KS,JC,7D,loss
KH,7D,8H,JS,7C,QH,loss
JD,JH,7D,TD,8C,KC,loss
AH,9H,9D,7C,KD,JC,win
TS,QH,8H,JH,QC,AC,win
7S,JH,9H,KS,QH,JS,loss
8H,TD,7D,6H,QD,7H,win
7C,KD,JS,TD,8S,8C,loss
9D,KH,6C,6H,QD,9S,win
8H,JD,9C,QS,TD,9D,loss
TC,7C,8H,TS,9D,QD,loss
QS,JH,TC,9S,QH,9H,win
JC,AH,8H,AS,TH,8C,loss
JH,TD,QS,6S,QC,8S,win
8S,6S,6C,QS,QH,QD,loss
JH,AD,9S,9C,JC,KC,win
6C,AS,8H,7H,TH,KC,loss
TS,7H,8D,QH,KH,JC,loss
KC,9S,TH,8C,7S,8H,win
AC,8S,7C,7H,8D,KD,win
AD,9H,TD,6C,TH,7C,loss
AC,8S,7H,6H,JC,8D,win
7D,QC,QD,JH,KS,AD,loss
6D,TS,TC,JC,6S,QC,loss
KS,TD,KC,8H,TH,KH,loss
QH,7D,7S,JD,QS,6C,win
AC,KC,AS,KH,TC,AD,win
JC,TD,KC,QS,AS,KD,win
KC,KD,TH,6D,7S,QS,loss
KS,TH,8C,7H,KH,9H,loss
TH,6C,9S,AC,6H,9D,win
TC,QC,QD,6D,8D,KD,win
KH,6S,AC,6C,7D,QH,loss
TH,AH,9D,JH,QC,KS,win
6C,6D,TS,TC,KC,6S,win
QC,QD,6C,AC,JS,QS,win
7D,AS,9S,9D,AH,TH,loss
KC,KS,8H,7D,9C,8S,win
8C,6H,JH,6S,KH,TC,loss
TC,AS,QH,9C,QS,TH,win
AH,8H,6C,TH,KD,JS,loss
KD,8D,AH,QS,8C,9S,loss
6C,TH,AC,AH,JD,JS,loss
9C,8H,9D,JD,6C,TS,loss
AS,6S,QH,6D,AC,9S,win
7D,7S,AC,KS,KC,AH,loss
7H,TS,6H,9C,7D,7C,win
QD,QC,TH,KC,6D,7S,loss
QH,6D,TH,AD,6H,8C,loss
QD,AD,TD,QC,JD,AC,win
8C,TC,KD,AD,KH,6C,loss
AD,JD,AS,6S,9C,QH,win
8S,QH,6C,TS,9H,JC,win
6S,8D,TC,7S,TS,AD,loss
7H,KC,6S,AH,JC,QS,loss
9S,6C,QS,7H,TS,JH,loss
8C,QS,AH,8S,9H,KC,loss
8D,QS,9S,KS,9H,QC,win
8S,7S,9H,6C,KH,TC,win
QS,6H,AH,KS,JD,KH,loss
QS,TD,JC,KH,9D,8H,loss
KD,7C,6S,JC,KC,7H,win
KD,7H,QC,8D,6D,7D,loss
QD,6C,9S,AD,8H,6H,win
QS,TH,TC,9C,JS,8H,win
7H,7C,KH,6S,JH,9H,win
JS,7H,8S,JD,AD,KS,win
6H,JC,TS,QS,JS,7S,loss
9D,AD,AH,8C,7H,JS,loss
QH,8D,8C,AS,6D,AH,win
8C,KS,6H,8H,7D,JD,win
7H,KD,7D,TD,QS,JS,win
7S,KS,JC,6H,AS,7H,win
AC,9D,8C,QH,AH,8D,win
TH,9S,QS,6C,9C,KC,loss
9C,QH,JC,KS,KH,9D,win
KH,8H,8C,7H,KD,TH,loss
AH,QD,6H,KS,9H,8S,loss
KD,9C,JS,6C,8C,6D,loss
AC,6D,TS,8H,QH,AH,loss
6D,KS,TS,8S,TD,7C,win
QC,9D,QS,8C,QD,QH,win
JS,KD,9H,7D,AC,AD,loss
7C,KH,6C,6S,KD,9D,loss
6H,9D,8H,7H,TS,9S,loss
7H,JC,KH,QS,AD,JD,win
8S,6D,JC,8D,9C,AD,loss
TC,8S,KH,QH,AS,AH,win
TD,8D,9D,TC,9H,7S,win
QS,JD,KS,9H,6C,TH,win
9D,7S,TS,JC,6D,6C,loss
7S,TS,9C,AC,9H,7D,win
KS,TC,TH,AH,6H,6C,win
9C,AH,KC,8C,7C,JS,win
QH,KD,6H,JS,AD,TC,win
6C,7S,TC,7C,QS,8C,win
AD,7D,TD,9D,JC,TS,loss
7C,6D,AC,QH,KD,JH,loss
6D,QD,AS,9C,JS,KS,loss
TD,6S,8C,QC,AS,9D,loss
9H,AD,6C,6D,8H,9S,loss
6D,7S,QD,8C,KH,KD,loss
JD,TD,9S,TH,AS,9H,loss
9D,7D,6D,TC,6S,6H,loss
TD,KS,TC,AC,KD,JC,win
6H,6S,JC,6C,9S,KH,win
KH,6C,TS,QC,6H,JH,win
6S,8C,KC,QD,AC,JH,loss
6D,AH,JS,7D,8C,8H,win
AC,KH,6S,JS,9H,TC,loss
6D,TD,6H,QC,9S,AD,loss
KS,QH,8S,QS,8D,QD,win
JS,JD,6C,JC,AC,8S,win
9H,8S,8D,AS,7S,7D,loss
8H,6D,QS,TS,KD,7D,loss
QC,JH,KC,QS,7C,8H,win
JS,AC,TH,8S,QC,KD,loss
6H,8D,KS,TS,AC,QS,loss
AH,AS,9S,TH,8D,6D,loss
7S,TD,QS,9C,8C,QH,win
AD,QS,QH,KD,JC,TC,win
6H,JH,6S,8D,TH,6D,win
QH,AD,8H,9D,AS,KD,win
9C,7D,8H,8S,8D,7S,loss
QH,9D,6H,8S,6D,KH,loss
7S,QC,AD,9H,6H,JD,loss
TC,QC,JS,8H,JD,8C,loss
7D,6D,9C,AD,TC,JD,loss
KH,6H,9S,AS,KS,TD,win
AH,AS,8S,QD,9H,8C,win
9H,8H,7C,TS,9C,TC,loss
TH,6H,JC,JD,9C,KC,loss
TC,JD,7C,JC,KS,JS,win
6S,8S,AD,TD,JS,QD,win
QS,7H,TS,KS,JS,JH,win
TH,JD,KH,8H,QS,AC,win
AH,8C,KC,6S,JD,9C,loss
7D,JS,QH,TC,JH,6H,loss
7D,AD,KS,TD,8H,AH,win
8C,6C,AH,TH,8H,6H,win
8S,TC,QD,TD,9D,TH,win
9S,7C,8C,KC,TH,6D,win
7C,KD,JC,8H,TD,9D,win
QC,AD,6H,7S,9H,7C,win
7C,9D,8S,8D,7D,TH,win
6S,6D,8S,AC,7D,QS,loss
9H,9C,AS,AD,KH,6C,loss
6S,7S,AS,KS,6H,6D,win
TH,KC,KD,9D,6H,7S,win
7S,QC,7H,8S,9D,7D,loss
8D,KC,6D,6C,QS,JH,loss
7D,KS,AS,8H,QS,6C,loss
8C,JC,TD,AD,KS,KH,win
JS,QH,6D,JD,7S,JH,win
TH,8D,AD,TC,KS,8H,win
AH,7C,AS,TC,QC,9S,loss
QC,QS,KD,7D,9D,7S,win
9S,QS,KD,7H,9D,7S,loss
8D,8H,KH,JH,7C,AD,loss
6H,8D,TD,JH,TC,9S,win
JH,9C,8H,QS,AH,KH,loss
KS,TD,6C,AH,JS,KH,win
KS,7S,AH,8H,6D,8S,loss
KH,6H,6C,QH,JC,JD,loss
QS,8D,JS,6S,7S,QD,win
KD,6D,8D,QH,AS,9D,win
9D,JC,8D,QD,9H,7S,win
6S,TH,QC,AH,JS,JD,win
AH,JC,7H,QS,8C,9D,win
8C,8D,KH,TS,KD,7C,loss
7C,JD,JC,9H,8D,8C,loss
KH,7D,7C,QH,6C,AD,win
AD,6D,9S,6C,KD,JH,win
AH,KH,AD,JH,7C,QH,win
6D,QH,7H,KH,QS,7S,loss
6D,8D,TC,AH,9H,8S,loss
TS,JS,AD,KH,8C,7H,win
6C,6H,JD,KD,TH,8D,loss
KS,6D,7D,QS,KD,QC,win
AS,QD,6D,9C,AC,QS,win
9D,8S,QD,7S,TC,8C,win
JD,TH,9S,7D,JS,7H,loss
JC,6H,7S,TS,6S,6C,win
6C,JC,JD,JS,6S,9H,win
6C,8C,AS,6H,9S,AD,win
QH,9D,8D,KS,AH,TC,loss
7S,KC,QH,TC,AD,6S,loss
JH,AS,JS,TH,AD,6C,win
QC,JH,6C,JC,KH,QD,win
AS,7S,TC,QH,QC,8C,win
JS,AH,7H,JD,AD,AS,win
AC,8C,AH,6C,6S,9C,loss
KH,TS,9S,AD,AC,JS,loss
KD,QS,KH,KC,TS,6H,win
TC,8C,8D,JH,8S,AH,win
6C,QC,KD,7H,8C,AC,loss
9D,9S,8C,KH,7C,JS,loss
QC,TC,9D,KC,QD,JS,win
7S,KH,8S,6S,7D,JD,loss
AH,TC,7D,KS,6S,9C,loss
TC,KD,8H,AD,9C,JC,win
8D,8S,TD,7S,6D,7C,loss
JD,KD,TD,KS,9D,TC,win
TS,7C,7S,TC,KD,TD,win
7H,TC,8H,9S,6D,7S,win
TC,6S,TS,6H,AD,QS,loss
9D,6S,KC,7C,8C,AS,win
QC,7D,9D,6D,8H,7S,loss
7D,9H,6S,TD,8S,QD,loss
7D,9D,KD,7S,7C,7H,win
JH,8H,QD,KD,JS,AC,loss
AC,AH,7D,TS,6H,QD,win
KS,KC,QS,QH,TC,8H,win
6D,8S,KC,9H,AC,AS,loss
JC,JH,KC,KH,9C,9D,loss
8C,TC,9H,6C,QC,9C,win
6C,6S,8H,QD,9C,7S,win
8S,TD,6D,TH,AS,9D,win
QS,8H,TH,7H,6D,JH,loss
8C,QH,JS,8D,6S,QC,win
JS,7S,KD,QD,JC,QC,win
AH,7C,8H,JC,QH,KH,loss
7C,JD,6S,7D,6H,TC,loss
QS,7H,JS,KD,6S,8S,win
AH,TH,JH,8C,7C,JD,loss
JH,TC,AC,6S,8H,JC,win
6H,KC,9C,7C,KH,7H,win
7H,JH,AD,KH,9S,JD,win
8S,7D,QD,8C,7C,6H,win
AC,6D,AS,9H,6S,KD,win
QS,QD,AS,7C,9C,KC,loss
6S,JC,7S,QS,6H,8D,loss
AC,KD,TC,7C,6S,TS,loss
QS,9S,AC,TS,KD,TC,win
AC,QC,JC,7S,6S,KS,loss
6C,QH,KS,QS,KC,7C,win
6H,8C,AS,AD,9S,TS,loss
TC,AC,AD,JD,QH,TD,win
TS,TD,8D,JC,JD,6H,win
TS,7S,KC,9S,JD,QS,win
8S,JD,JS,9S,7H,7S,win
QC,KH,KS,KD,TC,7C,win
QH,6D,JC,8D,9H,6S,win
KC,6S,KD,TH,TD,QD,win
6H,6D,6C,QC,TC,KH,win
AS,AD,AH,9D,6S,KD,win
KH,9S,AS,JC,6H,8C,win
6H,KH,6D,QH,9D,QS,loss
9H,TH,6D,8H,6S,8D,loss
7S,6D,6S,9D,7D,AD,loss
AH,TD,AD,9D,8H,9S,loss
6H,QS,9D,AC,KH,6C,win
TD,7S,TH,JD,9D,AS,win
QS,KD,QH,6C,JD,AD,win
JH,QH,TC,9S,QD,8S,win
AC,7D,QH,JS,9S,KC,loss
QH,7C,JD,KC,9H,AC,loss
7D,QS,TC,QH,AS,9S,loss
9C,KH,JC,QH,6S,AS,loss
8C,KC,8D,AD,8H,7C,win
AS,6D,AH,7H,8H,TS,win
9S,AC,9C,TS,7S,8D,loss
6C,JS,6S,JH,9C,7S,win
KD,AD,9S,AC,TS,9C,win
8S,TC,JS,AD,TS,6C,win
KH,TS,7D,8D,TC,JH,win
6D,8H,TS,7D,6S,JD,win
9D,TS,6S,QH,AS,7D,loss
8H,9H,AD,JC,8C,6C,win
TC,JH,JS,9C,KH,6C,win
TD,6C,8S,9S,7C,QH,win
6S,QH,JC,7D,9S,TD,loss
KH,KS,6H,8C,JS,9D,win
TD,6S,7S,8D,9C,9D,win
JH,KD,KH,KC,AS,JS,win
KD,TC,QC,QD,AS,JC,win
JD,JH,8H,AC,QC,7H,win
9H,7D,KC,KD,JD,AH,loss
8C,JC,KS,7D,KD,7H,win
KC,TS,KH,9H,7D,JH,loss
KC,TD,JH,QH,TS,8H,loss
9H,JH,8S,8C,7H,JC,loss
6D,7S,AS,8H,8D,AC,loss
9H,KD,JH,JD,KH,TH,win
KC,9D,6S,9C,TS,AC,loss
8D,AS,JC,7S,6D,AC,loss
JC,9H,7D,AH,AD,TD,loss
AD,TC,8S,9D,7C,AC,win
KH,7S,8D,8H,6H,QD,loss
9H,8S,8H,9S,TS,6D,win
8D,8C,JC,QS,KH,AH,loss
6H,9D,QC,KD,9C,9H,win
KC,7D,9H,KS,QS,8H,win
QS,KS,7C,QD,AD,9C,win
QH,KD,QC,JC,8H,KH,loss
TS,JD,AD,KC,KD,JH,win
9C,JH,TD,7D,AC,AH,loss
8S,TH,8D,6S,KD,TC,win
KC,KS,TD,TH,AH,AC,loss
AS,KC,AC,AH,7S,QC,win
9D,AS,6H,TS,9C,JH,loss
AH,TD,JS,6S,KH,QD,win
JH,AD,QD,TH,8S,QH,win
AC,6C,TS,QH,9C,7C,win
8D,KH,KC,TD,QC,JS,loss
8C,7C,JH,6C,7S,AH,loss
9D,JH,KC,AC,9H,TD,loss
KD,QC,7H,9H,JH,TH,win
TH,AS,7H,9S,KH,6H,win
6S,7D,7S,KS,QH,JH,loss
QH,AS,6S,6D,9H,AC,loss
6H,QC,QH,TS,7C,JD,loss
KH,AH,KD,7H,9H,AC,win
8S,KC,7S,JC,QH,KS,loss
7S,6D,9C,9D,7D,AH,win
AC,6S,AS,JD,8D,QS,win
JS,JC,8D,QH,6C,QS,win
7H,7S,KC,TS,6S,QS,win
JC,TC,QS,QC,AC,KD,loss
7D,TS,AH,KD,AD,TD,win
QD,KC,9C,JC,AD,JS,loss
TC,JH,6C,KC,JC,KH,win
6C,AS,9S,QC,TD,9C,loss
6C,JS,7S,QH,8S,9D,loss
JS,TH,7S,8D,9C,JC,win
KH,AS,TC,AD,TD,6C,win
9D,6S,TD,6H,AC,7D,win
8C,7H,QC,8S,6D,TH,win
9C,QC,QS,QH,8D,JH,win
6H,7H,TS,KC,AD,7S,loss
7D,KS,AD,7C,9H,JS,loss
8C,KD,TC,KC,AD,7D,loss
6H,9D,JD,8C,QH,QS,loss
TH,KD,9H,KS,7H,9C,loss
QS,6D,JC,6C,JH,KC,win
TH,9C,JC,KS,KD,8S,loss
AS,JD,6C,9S,TS,7H,loss
7H,QD,TS,JC,KC,7D,loss
6C,AH,7S,6S,9C,7H,win
AC,7D,6S,7S,6H,JD,win
6C,TD,AH,AD,8D,KS,win
QD,JS,QH,KD,TD,KS,win
8S,JH,9S,KC,7C,7H,win
TC,8C,7H,JC,JS,KH,loss
TS,9C,7H,TC,6S,6C,win
KC,QD,TS,9S,AS,7H,loss
6S,KD,8D,QC,TH,7S,loss
TC,6D,KC,6H,AD,7C,loss
7S,9D,JD,KC,AS,KH,loss
QH,QD,KS,AH,TC,KD,loss
8H,9H,JD,7H,9S,6S,loss
8H,6C,KS,JH,9D,AD,loss
8D,8H,TD,9S,7C,6C,win
AC,KC,9C,QC,6C,7C,loss
7S,JS,7D,9D,KD,QD,win
7H,QC,AS,9S,9D,AC,loss
AS,TD,6C,AC,AD,QS,win
6S,8D,9S,KH,KD,7H,loss
8C,QD,9H,6S,TD,AD,loss
8S,9D,AS,AH,9C,TD,loss
7D,7H,QS,KD,6S,JH,loss
TC,9C,9D,JS,AD,9H,win
JC,7D,9H,6H,8S,TS,win
QD,AD,JD,KS,6H,JS,win
6S,9S,TS,JS,KS,7D,win
7S,9S,QH,8H,JC,KD,loss
8D,7S,TS,JD,9C,JH,loss
8S,QD,TD,KH,6H,QC,loss
9S,QH,6D,7H,QC,KH,loss
QH,9C,QC,JC,TC,9D,loss
8H,QC,AH,KD,JC,7C,loss
KS,7C,JS,7S,7H,6S,loss
8H,TD,AC,9S,QD,KD,loss
TS,8C,9S,7H,TH,8D,win
8S,AC,9C,6H,JC,AS,win
JH,QS,6H,7H,JS,AS,win
TH,QH,AC,9C,6H,KC,loss
QS,KS,KC,AC,QD,TH,win
6D,9S,7S,AC,9C,QS,win
TD,7S,TS,9D,QS,8H,loss
QC,AC,8C,TC,6H,6C,win
KS,9D,6H,6C,JH,AD,loss
AD,AS,9S,KD,9C,TS,loss
7D,8D,KH,7C,QH,8C,loss
8S,JC,7C,AH,JS,AC,loss
AC,7H,6D,7S,9S,AS,loss
6C,6H,QD,JS,9S,9D,win
8S,QH,8C,7C,JC,JS,win
JH,AC,QD,8D,QC,AD,win
6D,JD,QC,KH,6S,AD,win
7H,JS,7C,7S,TC,KH,win
9S,8S,9D,AD,6C,7S,loss
AD,6C,TD,9S,7H,TH,win
7D,9C,JC,8C,6S,9D,win
9S,AC,AH,KS,TD,KH,win
QS,AC,KC,AD,9H,7H,loss
6C,AC,9D,QS,KH,QC,loss
TS,JH,6C,JD,8H,8S,win
9D,TC,KD,TD,6C,9H,win
JS,TH,AD,QS,7C,TC,loss
JD,TS,6C,8H,KD,KH,loss
AC,QS,9C,9H,QC,9S,win
9D,JS,KD,QD,8D,6C,loss
JS,AC,6H,AH,TD,QC,win
AD,JD,7S,6C,TD,8C,loss
AS,JC,6D,7H,QH,TH,loss
AS,AD,KD,QH,7S,AH,win
TH,TS,KH,AH,TC,KD,win
QH,6C,7D,9H,KS,JH,win
AD,8C,TD,7C,AC,7S,loss
8C,9H,KH,7D,QS,JD,loss
KH,QD,QH,6S,JD,9H,win
JH,8H,6H,7S,7C,AS,loss
KC,JH,KS,TD,8D,8C,loss
9D,8S,JC,AC,JS,6H,loss
JC,KD,KC,TC,QS,9C,win
KS,6H,8H,KH,JD,AS,loss
7H,TH,8H,TD,AD,QD,win
9H,QS,9C,8H,QH,AD,win
9D,KH,TC,TH,AC,6D,loss
6S,6C,8C,8S,9H,TC,loss
9S,7C,KC,KS,AS,TH,loss
JC,8S,TD,7H,KH,9H,win
9H,6H,KS,JS,AH,7D,loss
KS,JH,8D,7C,QC,9H,win
7D,TD,TC,KH,6H,7H,win
8S,KH,KD,9C,8H,6H,win
6H,TS,7C,KD,AH,QH,loss
9D,AD,QS,QH,QD,6C,win
7H,9S,KS,7D,6C,QC,win
7D,QC,6C,KC,8H,JD,loss
9C,JC,9H,6D,AH,QS,loss
TC,6C,AD,QD,QS,TH,win
TC,QC,9H,8S,QS,TD,win
JC,8D,TS,6S,QH,AC,loss
AS,JS,QH,9C,JD,AC,win
KH,7H,7S,AD,TH,KC,win
TD,8S,6H,JD,QS,9S,win
8S,QD,9H,KC,6H,QH,loss
8S,TD,AH,JS,TH,8H,win
6S,9D,KC,9S,7C,KD,loss
6C,7C,9H,8C,QS,8D,loss
AD,JD,7S,TH,8C,7D,loss
JS,8S,KD,6H,QH,KC,loss
8C,JC,TC,QH,AC,TH,win
JH,TS,9C,JS,TC,QD,loss
AD,TS,QD,JD,7S,KS,loss
JD,KC,9H,KH,9D,AD,loss
QH,9D,JD,7D,AC,8S,win
TC,7C,KH,JH,9S,TS,loss
7D,9S,JH,KH,8H,TD,win
KS,8H,JC,8D,KD,9C,win
JS,QS,6C,9C,JC,QD,win
JH,7C,AC,TH,QS,AS,loss
QC,QS,AD,KC,9C,TC,loss
9H,QH,8S,KD,JD,6D,loss
AS,6C,QC,AH,KD,JS,loss
JH,7H,9H,AC,JD,QC,win
KC,JS,JH,QS,JC,8D,loss
8D,QS,7S,8S,6S,6D,loss
9H,QH,9S,6D,8H,AD,loss
8H,TS,KH,QS,7C,8S,loss
7H,7D,7S,QS,TS,8D,win
QC,KS,JS,KD,TC,6C,win
JD,8S,TC,QH,8C,KS,loss
9D,6S,7H,TS,KH,7S,win
JS,7H,KC,6S,7C,AH,loss
QD,TC,TS,AC,TH,JC,win
7S,7H,KD,9H,6C,TS,win
7H,TD,8S,KS,7S,JC,loss
JS,8S,TS,KC,7S,9C,win
7C,JH,TD,8H,QS,KD,loss
7S,QD,7D,6C,7C,JD,win
AC,JD,9S,8S,7S,TD,loss
7C,QS,9D,QD,8H,AH,loss
JS,JH,TH,AH,8C,KD,loss
KC,JD,QD,6D,8D,TC,loss
QD,KD,TS,TD,AS,7D,loss
AD,JC,6H,7S,8C,QD,loss
JH,KD,KS,TD,QH,KH,win
TH,JC,JS,KC,7C,KS,win
TD,7S,KD,JD,QS,8H,loss
QD,KD,8H,KS,9H,9S,loss
7S,JS,KD,QS,TD,KC,loss
JC,AS,AC,TD,6H,AD,win
6H,AS,8S,KC,6S,8C,loss
KC,8C,6S,9S,JC,QD,loss
QD,JD,QH,JH,8D,AC,win
JD,TS,QH,8D,AS,9D,win
KD,8C,6H,7H,9C,AC,loss
8S,QD,AC,KH,JS,JH,loss
8C,KD,TD,6D,JS,TS,loss
TS,JD,AS,7H,9C,9H,win
JC,KS,AH,8S,6H,AC,loss
6H,7H,7C,AC,9C,8S,win
AS,TS,AD,8D,JS,QD,loss
9S,QH,8C,9H,KD,AS,loss
