card1,card2,card3,card4,card5,result
TD,KS,KC,JH,6D,win
8D,7C,6C,8H,TC,loss
6C,7H,TC,AC,8S,win
QD,6C,6H,KH,TH,win
8D,9C,AS,AC,TC,loss
AC,8D,QH,JD,AS,loss
KC,7H,8D,9S,TS,loss
7C,KC,9S,8C,6D,win
KH,JD,KS,QH,9S,win
9H,6D,TH,QH,JD,win
AC,JD,AH,8S,8D,win
9D,JH,7C,6H,QS,loss
7D,7S,KH,8S,QH,loss
7H,TC,9D,QC,AS,loss
AH,KC,JC,6H,QD,loss
JS,QH,AS,7D,TC,win
7S,TC,KD,JC,6S,loss
8H,9C,7C,TS,6H,win
8S,8H,JC,6S,AH,loss
KC,KH,KS,JD,9D,win
KH,JS,9S,JD,AH,loss
KD,8S,JS,AS,7D,loss
9S,TH,JD,7S,KD,win
7C,8S,JC,KS,TH,loss
8S,AD,KH,JD,8H,loss
9H,AD,6C,8H,8S,loss
9S,6D,KD,TS,AH,loss
AS,7C,TS,8S,KD,loss
9H,JS,KS,TC,6C,loss
KH,KS,8H,9S,JC,win
6S,JS,8D,QS,AC,win
KH,9H,AD,7D,TH,loss
TC,KS,QC,JS,9S,loss
JD,8C,9S,9H,QS,loss
9D,QD,JS,7D,JC,loss
TC,8D,KS,6H,7C,win
JH,TD,AD,6H,8C,loss
TD,9S,6S,KD,KC,win
JD,8S,6H,KH,KS,win
TH,KC,8C,QS,KH,win
KD,JH,KS,6S,8D,loss
JC,KD,6S,7D,6H,loss
JD,8D,JC,9D,JS,win
9C,6S,7C,6C,7H,loss
TH,TD,AH,7C,TS,win
7S,9S,9D,JS,JC,win
6D,6H,QC,9S,QD,loss
6D,TC,KD,9S,JH,win
8C,9S,QC,7D,AS,win
TH,QH,6D,TC,KC,win
7H,QD,AC,7D,KC,loss
AD,9C,KC,6S,KD,loss
TS,9D,8H,JS,AH,loss
6C,9H,6D,KS,8D,loss
8D,7S,7H,7C,8C,win
KC,8C,TS,8S,AH,win
QC,AC,9D,6C,8C,loss
6H,QC,6D,KC,TD,loss
TH,9C,KC,9S,6H,loss
9D,7C,QS,6D,7H,win
9D,8S,QC,AC,QD,loss
AS,AD,6D,7D,AH,win
TD,7S,AS,QS,JD,win
QC,TH,QH,TC,8D,win
JS,6S,JC,TS,7H,win
9S,QD,7S,QC,TC,loss
KS,JS,KD,9H,8D,win
8C,8D,JH,6C,9S,win
6D,AH,QC,6S,JC,win
AC,JS,TH,TC,6D,win
8C,JD,AD,JC,7C,win
KS,TC,QC,6S,TS,win
KH,TS,6C,8C,TC,win
7C,KS,KC,KH,8S,win
7C,9H,6C,AD,9C,win
JH,AD,JS,QS,TD,win
AH,7C,KH,TD,8S,loss
6H,7S,KH,9C,TH,loss
QD,8S,KH,AS,6H,loss
QH,AD,7S,9C,QC,win
QS,QD,JC,8H,6C,win
QC,9H,KH,9C,KS,loss
AC,7S,6H,6S,7H,win
KD,AS,9H,JH,QH,loss
AD,AH,9C,9H,QD,win
7C,9S,KD,QS,JS,win
KS,AD,6H,8C,KC,win
KC,QH,JS,9S,6S,loss
JC,8S,8H,KD,QD,loss
6S,KC,6H,9S,AC,win
9D,6D,9C,KH,6C,win
QC,7D,KC,9H,AD,loss
AH,JS,KC,TD,AS,win
JS,JC,9D,6C,QS,win
JC,8D,7C,JH,8S,win
KS,7C,9H,QC,TC,loss
TC,6H,AD,TD,9C,win
AC,6C,AS,QS,9H,win
KC,JC,9C,QH,KH,win
KD,AS,8H,6C,JC,win
AS,7C,9C,8S,QS,loss
8C,KC,9H,KD,6C,loss
QD,QS,AC,JH,TS,win
9S,AS,KS,QC,AD,loss
6H,6D,9C,TC,6C,win
TH,QD,6C,JC,8C,loss
8C,9C,AD,AH,6S,loss
7S,JD,8C,7C,9D,win
QC,KH,TC,7D,TH,loss
KS,QH,JC,9D,6S,loss
AD,JS,6H,7D,QD,loss
KH,9D,JC,8S,6H,loss
7D,TS,9H,8H,KD,loss
8D,9H,7D,AC,6D,win
JH,6H,QD,8H,AC,win
QH,9S,TC,AS,6H,win
KH,QD,JH,9C,8S,loss
QC,JH,QS,9D,9C,win
KC,7C,7S,6H,JH,win
7D,8S,8C,QH,QD,loss
8H,8S,JC,KH,KS,loss
6C,TH,JS,AH,8D,win
QD,9H,TS,JD,6S,win
9D,6D,8D,JS,TD,win
8C,9C,AC,TS,7S,loss
AD,TH,TS,KS,JS,win
TC,JD,9H,8C,JS,win
7C,8C,AH,9H,KS,loss
7S,JC,9C,QS,JH,loss
9D,7D,QC,JS,6S,loss
QD,7C,AS,6C,TC,loss
TS,AD,6C,KS,QS,win
JS,TD,TC,TH,AH,win
JC,KS,QD,7S,7C,win
TH,6S,JH,6H,7H,win
TS,AC,TC,KH,6D,loss
7H,AH,AS,7S,7D,win
QH,AH,TH,7D,8C,loss
TC,AS,9S,9D,7D,loss
JH,6D,QS,QC,AC,win
6D,JC,JD,KS,AS,loss
7S,8H,8C,QS,QC,win
KC,TS,QH,QS,JD,win
QD,JS,9D,QS,JD,loss
9S,AS,8H,JH,6H,loss
QH,9C,AH,8C,QS,win
KD,AH,8C,JD,7H,loss
7C,TD,JS,AH,TS,win
TS,AH,9H,6C,7H,win
9D,QH,KC,JH,JD,win
7D,8H,KD,TD,9S,win
6H,8S,KC,6C,TC,win
TH,KH,JD,QH,8C,win
TS,9H,AS,QS,7H,loss
JD,QD,8D,8S,AS,loss
8S,QC,QH,6D,TS,win
KD,QC,TC,8S,KC,loss
AC,9H,AD,KD,JD,loss
QH,JC,8D,TH,AS,win
AC,KH,JS,JD,6H,win
AS,7S,TH,JS,6C,win
KC,6H,QD,QH,AS,loss
9H,6C,TD,QC,8D,loss
TC,AS,KD,TD,8D,win
TC,QD,7C,KS,AH,win
7S,TC,7H,KD,8S,win
7S,KD,AS,TD,9S,loss
KC,KS,7D,8S,TH,loss
6C,9D,8D,8C,QH,loss
KD,7S,8H,TC,7C,win
8S,AC,6C,KH,7H,win
9C,AS,9D,JS,KD,loss
7S,7H,TH,8H,TD,loss
KC,QS,QC,KH,9D,loss
AS,7C,7D,6H,KS,win
9S,7D,9H,TH,9C,loss
AS,8D,KD,JD,AD,win
TS,KH,9D,QC,QD,loss
7S,JC,KH,6C,9H,win
9H,6S,7D,7S,QC,loss
6D,7H,8S,6C,9C,win
TD,JH,AD,9C,7S,win
6S,TH,8D,TC,KD,win
9D,TD,JS,7H,9S,win
8C,JH,9C,6H,9S,loss
8D,8C,AC,9S,QD,win
8H,8D,6C,6H,KC,win
8H,6C,7S,JD,AD,loss
9C,9H,AS,QC,6H,loss
AD,KC,AH,TH,QH,loss
JS,KS,TC,QH,7D,loss
8C,AC,9S,JD,7C,loss
8C,9C,KS,8H,KH,loss
6D,7D,JH,KC,JC,loss
6C,8C,6S,KS,QC,win
6C,KC,8D,9D,6H,loss
8S,8H,KS,AC,KC,win
JH,JS,9S,TS,9D,win
KC,TD,7D,6H,QS,win
KH,7H,9S,7S,8S,loss
KD,9H,6C,8D,JS,win
9D,QD,6S,KC,QH,win
AC,JS,QC,TC,AH,win
AC,9D,7S,QC,KH,loss
AC,KH,9H,8D,QS,loss
6D,9D,9S,KS,AC,loss
KC,KH,9D,TS,7C,loss
6H,AC,7H,QC,9S,loss
TS,TH,KC,9D,AS,loss
JS,AD,6D,6H,8H,loss
7S,9S,QD,7D,KS,win
7D,AH,JD,8H,9S,loss
6H,JC,JS,6S,9H,win
8C,7C,8D,AH,KC,win
KC,9S,6S,9C,6C,win
6H,AS,TH,6C,AH,win
JS,AS,QD,8C,7S,win
KS,6D,7S,7C,TC,loss
KC,KS,AD,8D,9H,loss
JH,8D,7D,QH,TC,loss
JC,TD,7C,AH,8H,win
7H,9C,TS,KC,QH,loss
6D,6S,QD,JH,TC,loss
KH,TC,KD,9S,8D,loss
7C,8C,6C,JD,AD,loss
TD,TH,6C,8C,KC,win
6H,QC,JS,TH,7S,loss
AC,QS,QH,TS,6S,win
9C,6D,KC,JS,TS,win
JD,6H,KH,7C,8S,loss
QC,9S,TD,AD,9C,loss
9C,7D,8C,6D,QD,loss
8S,KD,AS,7C,7S,loss
JH,9H,8S,QD,KD,loss
9D,KC,8C,7D,6S,win
7H,6C,QD,JD,8S,loss
9H,KD,TS,TC,QD,win
9D,8D,QC,8H,KS,loss
JH,7H,JD,8D,9C,loss
QS,9S,KH,8C,AS,loss
6C,AS,JH,6H,KH,loss
QS,JH,7S,KS,9H,loss
KC,9H,TS,AD,JS,loss
8H,AS,KH,6D,7H,loss
AS,7S,8S,KS,AD,loss
AS,7C,AC,6H,JC,loss
KS,6D,7H,8S,6C,loss
JC,7S,9D,6C,7D,loss
6C,8H,7H,7S,AS,win
QS,9S,TS,TH,AC,win
7S,TS,6D,QH,AC,loss
7S,9C,TC,KC,QH,loss
QC,8H,7C,AS,9H,loss
7S,6D,KH,8D,9S,loss
JH,9C,6H,QD,TC,loss
JS,KH,KD,7H,QH,loss
7C,8D,KS,TD,8H,win
JS,KS,6H,QD,8H,loss
6D,TD,KS,QS,AD,loss
JC,6H,6D,KD,KH,loss
9C,7H,AS,KH,7S,win
TH,JC,TS,JD,7C,loss
AS,TH,6S,JD,7C,loss
8D,8H,JC,9D,6H,loss
QH,6H,9S,QD,KD,win
7C,8H,TH,AH,8D,loss
AS,6D,KD,TC,AC,loss
9C,JD,QH,7C,6S,loss
QH,JC,KC,7D,8C,loss
AD,KS,6H,8C,7H,loss
KS,AS,8D,TS,QD,win
JH,7H,QH,TS,8H,win
TC,6D,6C,7C,JH,win
7D,TH,JC,AS,9S,loss
8C,TD,TC,9H,KC,win
6D,KS,QC,KD,8S,win
9C,KH,QS,TD,JS,win
KC,8S,JC,QS,9S,loss
TH,7D,8C,9C,AS,loss
QD,7D,JS,9S,JH,win
TC,KD,6H,7S,9S,win
TS,9H,6D,7H,8S,win
7C,9S,KD,8C,AD,loss
QS,6H,TH,JC,TC,loss
AS,KD,QC,7D,6S,loss
TC,7S,QD,QC,KC,loss
8S,9H,QC,JS,QS,win
9C,6S,KC,QS,QC,win
8D,7C,QD,JS,8H,win
9H,QC,KH,QH,JH,loss
9S,6D,7D,AH,9C,win
TC,AS,8D,9H,JH,win
KD,KC,TS,TD,KS,win
6C,6D,KC,QD,QS,loss
AC,TC,JH,KC,7D,loss
TC,KD,9H,7H,7S,win
7C,TS,9H,7S,JC,win
6H,JD,8H,JC,JS,win
KC,KD,QS,8H,TC,loss
KH,8C,AH,6C,7D,loss
KS,8D,9S,QS,7S,loss
JS,TH,AC,8H,QC,loss
9D,QH,9H,6S,KS,loss
KS,9S,6H,TD,8H,loss
QS,JH,9H,QD,6C,win
7S,TD,8S,TS,9C,win
8C,9D,TH,QS,QH,loss
TD,6C,QS,QC,7S,win
6S,9H,9D,QD,6H,win
KH,6C,9D,AH,6H,win
8S,AH,8H,8D,AD,win
JC,9S,QC,QD,JD,win
8S,QD,9D,JS,8C,win
TS,7C,6S,9C,8C,win
8H,AD,TD,QH,7H,loss
AS,KH,JD,KS,9H,win
QC,QH,8D,TD,JS,win
9D,7H,6D,8C,JD,win
7S,KC,KH,AS,9C,win
7S,7D,9D,JS,6D,win
AC,JH,8C,QH,9H,loss
8H,TC,8C,8S,9C,win
JS,TH,8S,8C,JH,win
QC,KH,TD,AH,9D,win
6C,6H,TH,KD,7H,loss
QC,6H,KH,JS,JD,loss
QD,7D,JH,8H,JS,win
9H,TD,7H,QC,JD,win
KH,6H,6C,KC,QH,win
7S,TS,KS,6D,JC,loss
KD,JS,7C,8H,KH,win
7H,KS,TH,9S,KH,win
JS,JH,7C,TC,6S,win
JC,8S,KH,TC,8D,win
8C,TD,JC,QS,TC,loss
6S,KS,JH,9S,8D,loss
9S,TS,8S,JD,QD,loss
7D,KH,QC,TH,AC,loss
KH,8H,8D,7D,TD,loss
QD,8D,AC,JH,9S,loss
KC,7H,QD,JC,9H,loss
6H,9H,6S,8S,TH,win
QH,KD,AS,TH,TD,win
TD,8C,6D,TH,8S,win
AH,8D,7D,8C,QD,win
TC,8H,KS,JS,QH,loss
KD,QD,QC,7H,TH,win
KH,JD,8D,AS,AH,loss
TC,TS,TD,KH,AH,win
7C,TS,KH,AH,8D,win
8D,7H,KS,TS,7S,loss
7H,AS,TS,8H,8S,loss
JD,QS,6D,8C,6H,win
AC,TH,KS,9C,AS,loss
QD,7C,JH,8S,6D,loss
TS,JC,AS,QD,6S,win
AC,8H,8D,KH,AH,win
7H,QH,8D,JS,QC,loss
JH,QD,KH,TC,JS,win
6C,9C,9H,7D,6D,win
8S,JH,AC,6S,9S,win
9H,8C,JH,TD,6H,loss
QS,AS,JS,QC,AD,win
KD,AC,JH,6C,9C,loss
QD,6D,QH,QC,7D,win
TH,7D,QD,QC,AD,loss
TS,9H,8S,8D,9D,win
6H,7C,AS,JD,TD,loss
6S,8S,8C,TS,AD,win
6S,KH,7D,AD,9C,loss
JS,9D,8C,KC,6D,loss
8C,7S,QC,JH,9H,loss
TH,9S,KS,8H,7H,loss
KS,AC,7S,8H,6C,loss
7H,9S,JD,KD,TD,loss
QS,7C,QD,KH,KC,loss
QS,TS,TD,7D,7H,win
6C,JC,9H,JS,7H,win
9H,KC,QD,6H,AD,win
9D,AD,AS,JH,KD,loss
7C,KS,QC,KC,KH,loss
6H,7D,AS,JS,TS,loss
KH,QD,7D,9C,7S,loss
JC,TC,QD,AH,6H,win
8H,6S,7D,QD,TH,loss
TC,KC,7S,6D,7H,win
6S,KH,KD,8S,KS,win
JD,JC,8C,8D,KC,loss
JC,JH,6C,QH,KD,loss
KD,JH,9S,8D,7S,loss
TS,JH,JC,AC,AD,win
QD,KD,TD,7S,8S,loss
6D,TH,6S,JS,9S,loss
KD,QC,QD,TC,JS,loss
JH,8H,9D,8C,KC,loss
6C,6D,TS,QD,JD,win
JC,8S,6C,7D,8D,loss
KC,KH,6D,6H,8S,win
TH,9C,KC,6S,JC,win
AS,6C,9C,7C,KC,loss
QC,7H,KS,9C,7S,loss
KH,QC,QD,7D,KD,win
AD,TD,TS,KH,AC,loss
7C,6D,8H,TS,AS,loss
AH,7C,QH,JS,6H,loss
JS,TD,AH,TH,TS,win
QC,AC,TH,KD,7D,loss
8H,7C,6H,JS,QS,loss
QH,JS,QD,9D,6C,win
TS,6S,QD,AC,KS,loss
9C,JC,JH,KD,KS,win
8H,7D,TC,QD,AC,loss
7H,8D,QS,TD,9H,loss
9S,9C,8H,9H,7H,win
6C,8H,6D,JC,9D,win
QH,8S,JH,QC,KC,win
KH,TD,8H,JC,QH,win
TS,9D,7C,6H,AD,loss
AH,9D,6C,AC,8C,loss
KC,7C,AD,9D,QC,win
AC,8D,7H,6H,8S,win
9H,9C,KS,6H,8S,loss
QS,AS,7D,8C,6C,win
QH,KH,KC,AD,AC,win
QD,QC,KD,9S,6C,win
8H,QC,8S,QS,QH,win
QS,8D,KH,JC,QD,loss
JS,7H,QC,KS,KC,win
TS,JH,QD,8D,KD,win
7D,AC,KH,TD,KS,loss
KD,KS,AH,TD,JD,loss
9S,AS,6S,6C,TS,loss
6C,7H,8C,AS,TD,loss
9D,KC,KS,6D,JH,win
7C,TD,AD,7S,AC,loss
TH,9D,6H,9H,JH,win
JS,8H,TS,QC,9D,win
QD,7C,JS,KD,6D,win
7D,8S,TH,8H,9H,loss
9C,9S,6C,QS,8C,win
8D,KS,8H,JH,7D,loss
9H,9C,7C,8C,TD,loss
QC,7H,9H,AC,AD,loss
9C,JD,QS,8S,9H,win
9S,KS,9C,AD,TC,win
KS,QC,KC,TD,9S,win
9C,QD,KH,7S,AD,win
JC,KS,9C,6D,JS,win
6S,JS,7S,6C,AS,loss
TD,JS,6S,8D,QD,loss
JH,QS,6D,9H,KH,loss
KD,8C,AS,9S,7H,loss
6D,9D,QD,7H,8S,win
JH,TC,8S,6D,KD,win
7H,AS,7D,AH,7S,win
KH,8H,JC,JH,9S,win
JC,QD,QH,8D,8H,win
7S,TC,JS,8C,7C,loss
9D,TH,8D,7C,JS,win
6D,QD,AC,7D,8C,loss
KC,TD,8C,9D,TC,win
KS,8C,AD,QH,6D,win
6S,TS,6H,AH,8H,loss
JH,7S,AH,TD,KD,loss
AS,6H,KS,QD,8C,loss
AD,TC,QS,QH,8C,win
JH,6D,TH,JS,8S,win
QC,TH,KH,QS,KS,win
TD,AS,TS,7S,8S,loss
8S,AC,8C,KS,7D,win
AC,9H,6C,QD,AH,loss
7S,9D,KC,9H,6C,loss
JH,7S,AD,AS,9C,loss
6C,6D,9H,TS,AH,loss
QD,7C,6D,6H,9C,loss
KH,8H,QC,9S,JS,loss
8D,TS,AS,8S,JH,win
7D,JC,TH,KC,TC,loss
7D,6C,JH,AD,7C,loss
9H,9C,QS,7D,JS,loss
QH,9D,KH,QS,6H,win
AS,QC,TC,AC,7D,win
KC,AD,TC,JH,KH,win
KH,AC,6S,8H,QD,loss
JD,6H,KH,7S,JC,win
6H,9S,9D,TS,QD,loss
7D,9C,9H,8C,AD,win
KH,8S,TS,6H,JS,loss
JS,8S,9H,8H,AC,win
QH,JD,6D,AS,QD,win
TH,KC,6C,JS,9S,win
AS,KS,7C,KD,JC,win
TS,QC,TH,QD,KS,win
TC,KD,9D,AS,7S,loss
9D,AD,KD,QH,TS,loss
7H,9S,QD,KC,9H,win
7C,QD,AC,8D,6H,loss
KC,6D,8D,QS,9S,loss
QC,AH,TS,8C,6S,loss
JD,7S,AH,8H,KS,loss
JC,8H,6H,AC,9D,loss
9S,AH,JC,7S,TH,loss
6D,TS,KS,7D,9D,win
JD,7H,6D,KD,9D,win
8S,QH,6C,7D,QC,loss
8D,KD,TH,6H,JC,win
AH,8C,7D,TH,AD,win
9S,8S,AS,QD,TC,loss
7S,6S,8D,8S,9S,loss
6D,JD,KD,KH,AS,win
6C,7H,8C,9S,8D,loss
AC,JS,KD,AS,QS,win
8C,QS,KH,8H,6H,win
JC,KC,TD,AC,8S,loss
KS,7H,9S,AD,9H,win
9S,9C,QH,QD,7C,win
6C,9C,KH,6D,AH,loss
AS,6D,9C,6C,6S,win
KC,AD,7H,AC,AS,win
QD,7H,TH,QH,6D,loss
AH,9D,KD,QH,9H,loss
JS,8S,8H,TS,KC,win
TD,QH,6S,AD,QD,win
6C,AS,KC,AD,KS,win
TC,9S,6H,JD,QH,win
JC,6D,7S,KH,AH,loss
TS,9H,9D,AC,7S,win
TC,KC,QC,JD,JS,win
9H,AC,6S,QC,TC,win
7H,AC,QH,6S,QS,loss
AC,KD,6H,7C,9D,loss
JC,7S,AD,KH,QH,win
7C,AH,8H,KC,TS,loss
7S,9C,KD,TH,9H,loss
KD,AC,JD,QC,8S,loss
KC,8C,8D,9C,AD,win
7C,JC,JD,8D,6C,loss
8H,8D,7S,TH,QD,loss
AS,7C,JC,TH,7S,loss
AC,TD,7C,KS,QH,win
JD,JC,7C,JS,8H,win
KD,KS,AC,KC,6S,win
9D,QS,6D,8D,6S,loss
8S,KD,6D,6H,JS,loss
7S,9C,KS,QD,7C,loss
QS,TH,QD,QC,JH,win
7C,8D,TH,KC,JD,win
8C,AH,6D,9D,8D,loss
7S,AD,KS,7H,AH,win
7H,AD,6S,TS,7D,loss
6C,TH,KH,AC,JD,win
9H,QD,7D,JD,9C,loss
9C,JS,6S,AS,TS,win
9C,8H,9S,7S,6H,loss
TD,7C,AC,8C,9C,win
JC,6C,9H,7H,8C,loss
9D,JS,8H,6C,7S,win
AH,AS,9C,9S,JC,win
QS,QD,AH,6D,6C,win
9S,8C,JH,QC,6H,loss
QS,KH,9C,7S,TS,loss
AS,6S,QD,TC,AH,loss
TC,9H,6S,9S,JH,loss
JS,7S,AC,7C,JC,win
7C,TS,QC,7D,6C,win
QS,AD,TH,QH,AH,win
7D,QD,8D,QS,QH,win
AC,9C,9D,JH,QH,loss
AC,KS,KD,7S,9C,win
AS,7C,JD,TD,AH,loss
TS,AH,6C,7S,KD,loss
QD,KH,7D,AD,6S,loss
9C,6C,QC,AD,KC,win
7C,8C,AD,KD,TH,loss
AD,AS,QH,TD,JH,win
TC,8C,9D,6D,8H,win
QS,QD,KC,KD,AD,win
AD,AC,TC,JH,7S,loss
KH,AC,7D,9C,9S,loss
QH,JC,AC,TD,QS,win
QD,KC,7H,TD,7C,loss
QS,TH,AS,KD,9H,win
QC,6H,QS,9S,8H,win
AH,6D,KS,6C,7H,loss
AS,AC,AH,JS,6S,win
JC,TH,AH,QH,TS,win
JH,QC,QD,6D,JD,win
6D,KS,KC,6H,JC,loss
6H,TS,9C,8D,TC,win
KD,KS,KH,8C,QC,win
TH,8D,JH,KD,6D,win
KH,7H,8H,6D,TD,loss
6S,9C,6D,6H,QS,win
8H,6H,6D,TH,8D,win
7C,KH,8S,KS,AH,win
7S,JH,QH,KD,KH,loss
JH,6C,JS,6D,JC,win
AC,AH,JD,TD,6C,win
9S,6D,KC,7D,QC,loss
QD,TC,AC,TD,TH,win
9H,KD,JC,6S,7H,win
QS,QC,JD,6H,TC,win
AC,QC,6S,7H,9S,loss
TS,6S,QD,QS,8D,loss
7H,6C,6S,9C,7S,win
JS,7H,KC,9H,8S,loss
9S,TS,AC,KS,6C,loss
TS,KC,TH,AD,6D,win
AD,9S,AH,6H,KH,loss
AD,7D,KC,6C,7H,loss
QH,JS,QC,7D,KH,win
AC,AS,TC,9S,8S,win
9S,QD,8C,QS,7C,loss
6D,QD,KD,TC,6C,win
AD,TH,6D,7D,KD,loss
TS,TD,6S,AC,7S,loss
QS,8D,KH,8H,9S,win
KH,TD,6H,7S,JC,loss
TC,8S,6H,TS,6D,win
6C,7S,6H,KD,KH,win
JC,QH,7H,7S,JH,win
AS,KH,9S,9C,KD,loss
KC,JH,6H,8D,AS,loss
AS,KH,9H,JD,TD,loss
KH,QD,TC,8D,AS,loss
JC,QD,QC,QH,7D,win
6D,AD,TD,JD,AH,win
JC,6H,QS,JS,AS,win
9S,7C,6C,9D,AH,loss
9S,AS,7H,7D,9D,win
AC,TS,8D,AD,KC,loss
TC,KD,JS,KC,9D,win
JC,7S,KH,TC,7H,loss
7C,9H,TD,7D,8C,loss
TD,9C,8D,JH,8C,win
TC,TS,6C,AD,9C,win
7S,7H,9C,QC,6D,win
AS,AD,AH,TD,8D,win
9H,7C,9D,KC,QD,loss
6C,9H,QH,AS,KC,loss
KD,9H,7D,8S,KH,win
AD,QS,KS,9S,7C,loss
JS,9H,TC,TS,8S,loss
KS,TC,9H,TH,JD,win
KH,AD,9H,6D,TD,loss
KC,QS,KH,AS,9S,win
QS,AD,6D,KH,QD,win
8C,KD,TD,9C,6C,loss
8C,JD,KC,6C,JH,loss
9S,9D,7D,TH,QS,loss
8D,9S,JC,6D,8S,win
7S,QD,JC,8C,TS,loss
8D,KC,8S,TS,9C,loss
6H,TD,QD,KS,KC,win
QH,AD,9D,7D,KC,loss
JD,JC,6S,TC,9D,win
JC,AC,TS,9D,7C,win
6H,7D,7S,AC,QD,loss
AD,6C,JC,8H,8D,loss
8C,KD,QC,QH,8D,loss
KC,8H,AS,TS,AC,loss
6S,6C,TC,AD,JH,win
7C,7H,8H,JH,8S,win
TC,JC,JS,6S,QS,win
AS,6D,QH,8C,AC,loss
9D,AH,7C,JC,8H,loss
6C,TS,TC,9H,QS,loss
QD,9S,JD,JH,9H,loss
JD,8D,9S,7S,JH,win
QD,8D,QS,QC,6C,win
AH,TC,6S,7H,AD,win
KS,KC,QS,7D,8D,loss
TC,6H,9H,8C,QH,loss
AH,JC,7D,7H,KC,win
QD,KD,6S,QC,8C,win
TH,QS,8C,8H,AC,loss
TC,TS,6C,7C,6S,win
JS,KD,TH,AD,KS,win
9C,AS,QC,KH,TH,loss
QD,AD,TC,KC,TS,win
8S,9C,6S,AS,6C,loss
7S,JH,6D,8S,TS,win
6S,JS,7D,KH,AC,win
6D,8D,KH,AH,6H,loss
JS,6S,KS,KD,8C,loss
TD,AC,AH,JS,KH,win
QD,6D,TH,JS,JH,loss
6D,QS,AC,6H,JS,loss
TC,8H,KD,KC,JS,loss
AC,6S,9D,8H,AD,win
QD,6H,JS,7S,KS,loss
TD,9C,JC,JH,KH,win
AH,6H,AC,6D,7H,win
QC,TH,AD,6C,8H,loss
6C,QH,AH,AS,JC,loss
9C,9D,8S,TH,KC,win
QC,JS,QH,KC,AS,win
6C,8D,TS,AD,9H,loss
AS,KH,7H,AH,QH,loss
6D,JH,7H,JC,9H,win
8C,8H,TH,6H,QD,loss
TS,KD,TD,7D,KH,win
8C,7D,QS,AD,6S,loss
6D,9S,7S,JH,9H,win
TD,KD,KH,8D,KS,win
9D,AC,6S,JS,7D,loss
QD,AH,TD,8S,AC,win
AH,QS,JS,7D,9S,win
7C,TS,7S,6D,KH,loss
9S,QD,TD,QS,7D,win
QS,QC,AD,AC,QH,win
KD,9D,QH,9H,TH,win
AC,KS,QC,8S,KC,win
QD,8H,KC,9C,6H,loss
6D,AH,AC,QC,JH,loss
6S,9D,QH,7D,TS,loss
8S,KS,KC,8H,9D,win
9H,QD,TS,7D,KD,loss
8S,JC,KD,AS,6C,loss
JD,6C,6D,7C,AD,loss
8H,QH,JC,7D,9D,win
KC,9D,KH,8C,6D,win
7D,QH,7S,6D,KH,win
AS,6D,8S,KS,QC,win
KD,9H,8S,QS,6S,win
7H,QC,JD,8H,TS,loss
QS,6C,KD,9D,7C,loss
8H,8S,AD,QS,QD,loss
AS,9D,8C,KD,TS,loss
6S,7D,6C,TH,8D,loss
AH,TD,JD,8H,8C,win
6S,JC,AS,8D,6D,loss
TH,TC,8D,7D,9H,loss
8H,KH,QS,AS,JH,win
KC,6C,8D,JH,6D,win
KD,8C,AD,8S,6S,loss
6D,KD,QS,6S,9S,loss
QH,9D,KD,AH,8C,loss
9H,KD,JC,JD,TD,win
JD,7H,AD,6C,8S,loss
8S,QH,QD,7S,KS,win
JS,KD,JD,6C,QD,loss
9D,8D,7S,7C,7H,win
QD,TS,7S,KS,QS,loss
8S,6C,JD,QS,8H,win
KD,JS,9S,JD,9H,loss
7C,6C,9S,8H,8S,win
QS,QH,9H,KD,6H,win
8C,TH,9C,KD,JH,win
8C,AH,JC,9S,AS,win
JD,9C,AS,9D,AD,win
7C,KS,9S,7S,QC,win
KH,QS,QC,QH,KC,loss
8S,JD,KS,TC,6D,loss
7S,KD,TH,JS,TD,loss
KD,9D,7D,6S,KS,win
8S,AD,TH,6D,KS,loss
7C,QD,6C,JS,KC,loss
8D,QS,6C,KH,QC,loss
7S,7H,8C,QS,6C,win
AH,9C,9D,QD,8D,loss
QC,KD,JS,TC,AS,loss
8D,KD,TH,7D,JC,loss
TD,6H,KC,AC,QS,loss
9D,7S,JH,AH,9H,loss
TD,AD,TC,JS,8C,win
QS,JS,9C,KD,KH,loss
7S,6C,6D,9D,6H,win
QS,9D,9S,JD,TC,loss
TS,8D,QC,6S,8C,loss
QS,8C,JS,6D,TD,loss
TS,AH,AS,9C,TD,win
AS,QH,9H,7D,KD,loss
JH,8S,6H,AS,8C,loss
6C,6S,7H,JC,QH,loss
AH,8C,6D,JS,AD,win
KC,KD,JD,8C,7D,win
8C,QS,6D,QD,AH,loss
7H,6C,QC,7C,KH,loss
7C,6S,TD,8S,8H,loss
7D,QS,6C,KS,6H,loss
AS,6D,AH,7H,TD,win
KD,QD,AS,TS,6C,loss
JC,8D,9C,TD,AH,loss
9C,7S,QH,9H,AS,win
KC,9H,JD,AH,7H,win
TH,9H,JC,7S,6S,loss
TS,AS,8C,7C,6H,loss
JS,8H,KD,9D,6C,loss
AD,9C,6C,7D,AS,loss
TC,KS,9D,AS,JD,loss
KD,JC,AD,JS,KC,win
QD,6C,6S,7S,QS,loss
QH,9D,AS,JC,7H,loss
QC,KD,8C,JC,JD,loss
9C,TH,8S,QD,TC,win
9D,6C,QC,KS,6D,loss
QC,JC,6C,7D,AH,loss
