card1,card2,card3,card4,card5,card6,card7,result
AH,QC,KS,7D,8S,8H,6S,loss
8H,KD,AH,QS,7H,8C,6D,loss
9H,JD,6H,KD,7H,AH,QC,loss
9D,7H,KD,8D,6C,TH,AD,win
KD,7D,8C,QD,9S,JS,QS,loss
7C,AC,AS,7H,JC,QH,QC,loss
9S,8S,KD,TS,8D,QC,TD,win
9C,6D,TC,QD,8C,KD,7D,win
QD,TC,AD,JD,KD,8C,9D,win
6D,QH,TH,8D,JH,9C,KS,win
TD,9S,JH,6H,JC,6S,KS,loss
9H,9D,6H,JS,JD,JC,AH,win
JC,KS,AC,8S,9D,6C,KD,loss
6H,7S,8D,AC,TD,TS,9D,win
7H,AH,JS,QC,6S,JH,8D,loss
TC,6H,JH,7S,KS,QH,TS,win
9C,KC,6H,6S,KH,AD,AH,loss
QD,8H,7C,8S,QH,JD,9D,loss
8S,AD,6C,KC,QC,AS,9C,loss
8D,JC,TC,AH,8H,6D,AD,win
AC,6S,KD,QC,JC,QH,6D,loss
6H,QS,6D,6S,7D,QD,9C,win
9D,TS,TH,AC,9S,6H,KS,win
JS,AH,6C,JC,KC,7S,AS,win
TH,6H,8D,9H,7D,QH,AH,win
QC,7D,9H,AD,TH,JS,KC,win
QH,8D,TC,JH,AS,9H,7S,win
TD,AC,AH,TS,QS,6C,9H,win
KC,7H,QH,6H,JH,9D,TS,win
6C,9H,JH,8D,7H,7S,QS,loss
7C,KH,KC,KS,9S,7S,8D,win
9H,QS,KC,TC,QD,6H,AC,win
AD,QD,6C,6H,KH,8S,QH,win
KC,AH,8H,9D,7C,6H,AC,loss
QC,7H,6C,8C,AC,8H,JD,loss
9C,6C,TC,QS,9H,8S,JS,win
7S,KH,TD,9S,KS,JH,JS,loss
AC,AD,9S,8S,8C,QC,7D,loss
AD,TD,AH,QC,9D,8D,QD,win
9C,7H,KC,7D,JD,KH,9H,win
QH,KH,6H,8H,9C,9H,8C,win
KC,AC,6S,AD,TH,AS,9S,win
AH,8C,9H,TD,7C,7H,AC,win
6H,8D,TC,7C,6S,QS,9H,loss
JS,AD,TH,AC,6D,TD,JD,loss
9H,7C,JD,6C,QC,TH,8C,win
8C,9C,TH,AD,9D,6D,7C,win
7H,TC,JH,9S,AS,8C,KS,win
6C,AC,TD,KC,6H,KD,JH,loss
TH,KD,AD,9D,TS,JC,KS,loss
TD,6D,TH,9S,9H,JC,AD,win
8H,AH,KS,6C,KC,8S,9H,loss
JH,KH,9S,JS,QC,AC,QD,loss
QD,7H,9C,JS,9H,AC,8C,loss
QH,9D,QS,AH,8S,8H,9H,win
TD,AS,JH,QS,KC,6D,9S,win
8S,TD,7C,QD,AH,JH,KD,win
JD,7D,8D,AC,QD,QC,KC,loss
QC,8D,9D,TC,QD,QH,JH,win
TH,8S,JH,QS,8H,8D,6S,win
JS,AC,9D,QC,9C,8S,7S,loss
6H,9C,7C,JC,KD,9H,TD,loss
8S,6S,6D,JC,AH,JD,KC,loss
AS,6H,6C,9C,KS,JS,7S,loss
9C,7C,JS,7D,KH,QC,QD,loss
TH,KH,TD,QH,7C,JC,9C,win
6C,QH,9C,9H,KH,AC,QS,win
KC,9S,QD,TD,7S,AD,KH,loss
KD,AC,6S,QH,9D,AH,KC,win
8D,QS,8S,QD,7D,9D,9S,win
QC,8H,TH,QD,9S,6H,KH,loss
QH,JH,JS,KC,JC,TH,9H,win
7H,6D,7D,6H,JH,9H,KH,win
KH,JS,TS,7S,AC,JH,TD,loss
AC,9D,TD,8D,7S,9H,QH,win
9S,TH,6S,TC,QD,AC,6D,win
QD,KC,QC,7C,8H,JC,TD,loss
KD,6S,QS,JH,KC,8D,AD,win
9C,JS,7S,6C,TH,6D,8C,loss
9D,6H,QC,AC,TD,6D,7C,loss
7S,JH,9C,9D,6S,AS,AH,loss
JH,JD,AD,QC,6D,TS,7D,loss
QS,JD,QC,7D,TH,JH,6D,win
AS,JH,QS,7C,KD,6D,6C,loss
8S,QH,JD,9C,TS,8D,9D,win
AH,AC,TH,7S,JH,KS,TD,win
QC,7H,9S,9D,6D,JS,AD,loss
6D,JD,7C,KH,AH,JH,9D,loss
7D,8S,QC,6C,JD,QS,6H,loss
7S,8S,TS,QD,JC,TD,KS,loss
7C,AD,8H,9S,QH,7D,JH,loss
JD,8D,6D,9S,8S,AD,KH,win
KC,9C,6S,JD,AH,QH,6H,loss
TD,7C,9H,QS,AC,9S,8D,loss
7H,7D,6S,QC,QH,7C,QS,loss
JS,8S,KS,QS,9S,QH,7D,win
TH,TC,AS,JD,9H,7S,JC,win
9D,KS,QC,7H,JS,6C,AD,loss
TH,KC,AS,AH,JS,8S,QS,loss
8D,KH,JH,6S,JS,KC,QH,loss
AC,7H,8C,JH,JC,6H,AD,win
9C,6C,AS,KH,QS,TD,8D,loss
AH,TH,8D,6D,QH,8C,7S,loss
QD,8H,8D,TS,6D,6H,TH,loss
QH,9C,JD,KS,TS,JC,6S,win
9D,QH,9S,7C,JH,KH,TC,win
TS,6H,QS,QD,KD,AC,6D,loss
7H,QD,6H,6S,9C,9H,8H,loss
7S,TD,QC,AH,QH,6H,KD,loss
TS,QD,AC,AH,KD,6H,TD,win
6D,7D,JH,9C,AC,6C,9D,loss
9D,TD,QD,7C,TS,7D,8S,loss
JD,KS,JC,9D,AS,7H,KD,win
KH,6H,6C,JH,JS,QC,6S,win
6D,KS,QS,8D,JH,KH,6H,win
TC,6C,9C,7H,AC,AD,9S,loss
7S,9D,AC,9S,AS,QC,9H,win
7D,TD,6S,KS,AS,KH,6C,loss
6S,8C,9S,9C,6H,QC,AS,loss
7H,QC,6C,TC,JH,9C,8H,loss
7D,QC,AD,TH,9C,9S,TC,win
TH,6C,TD,KS,7H,KC,JS,loss
QC,QD,TD,KS,AD,KC,AH,loss
8H,TC,TD,QC,9S,QD,QH,loss
JS,TS,9C,9S,9D,7C,JD,win
JS,TD,8D,JD,6H,KH,KC,win
8S,AD,JS,6C,QD,9D,6H,loss
6D,6S,9S,JD,TS,AD,KS,loss
AS,AH,JC,9C,7D,TS,QH,loss
AS,9H,8S,6H,8C,KH,AD,loss
9D,TS,TH,8H,9H,AD,AH,win
QC,TS,KH,AD,JS,JC,9H,loss
7D,TS,9S,KD,TD,6C,8C,win
7D,JD,6C,9D,TD,6D,TS,win
9C,KS,7D,JS,8C,QH,QS,loss
6D,6S,AS,7D,9D,JH,KD,loss
9C,KD,6S,KC,9H,AH,9S,win
7S,KC,QD,8D,9D,JD,7C,loss
QH,6C,6H,7D,7C,8D,AS,loss
9C,QD,6S,TH,9S,KC,TC,loss
KC,JD,KS,7H,7S,6S,QD,win
QS,JH,QD,7S,JS,6D,7D,win
7C,6D,JD,KC,8C,7H,AC,loss
8D,TS,7H,9H,7S,KH,JC,win
KS,7D,6H,JC,TH,8D,9S,win
JC,KH,JS,9S,6S,7H,JD,win
9S,JS,KD,6H,TD,AD,AC,loss
7S,JH,QC,JD,6H,6D,7C,win
7C,AH,6H,TC,8S,KD,9S,win
6D,9S,9H,QS,TS,TC,KD,loss
6S,6D,TS,AD,QD,QC,8H,loss
6D,AC,KD,JC,6H,8D,9C,loss
8H,JH,KS,JC,6H,9S,AS,win
TD,9D,7H,TS,8H,6C,6H,loss
JC,AS,KC,TD,7H,TC,KS,win
9S,AH,KD,AC,9C,QH,TS,win
AH,JC,7D,QC,TS,QD,AS,loss
JD,KC,QC,7C,6H,9S,TD,win
AH,7C,TH,6C,AC,QC,7S,loss
7D,6S,QC,9H,8S,QD,7H,win
AD,AS,TC,8H,KC,6D,6H,loss
7C,9D,9S,8S,KS,AH,JH,win
6S,9C,JD,QS,9H,8H,7D,loss
AS,QC,7H,TH,6H,8C,JC,loss
9H,7C,6S,TC,AH,QS,7D,loss
KH,6S,AH,9D,QC,JC,9S,loss
JC,8S,8C,TD,QS,AD,7S,loss
8D,AC,TD,8C,8H,JS,9S,win
7D,JS,8S,6H,TS,QS,KH,loss
KC,6C,AS,QS,KH,KS,JC,loss
JD,KD,7H,6S,JS,9H,8H,win
QC,KD,AS,QD,JS,8S,TS,win
7S,AH,TD,6D,7H,KS,8D,win
9S,7C,8C,TS,AS,JD,KS,win
AS,6C,9C,8D,7D,TS,QS,win
TD,8D,9D,6S,KS,8S,8C,win
7C,9S,6S,TD,9D,JS,QS,loss
TH,9H,JH,TD,JS,AH,TS,win
6S,6D,7D,TS,TC,KC,8H,loss
6D,KC,JD,9D,AH,9C,QH,loss
9D,7D,TH,KS,9C,AS,AD,loss
6D,8S,QC,KD,9C,AC,JS,loss
7D,7H,7C,KC,9D,KS,KH,loss
TH,JD,6H,TD,8H,TS,JC,win
9S,6D,KD,6C,JS,8D,7H,loss
AD,AS,TH,AC,6C,QC,8C,loss
8D,JH,6H,AC,6D,9S,JC,win
TD,KD,JS,TH,6H,KS,JD,win
6S,8C,JD,9S,6C,7C,AS,loss
6H,KD,TD,7C,KH,8C,KC,win
JS,8C,6S,6D,9H,TD,AD,loss
QH,KS,TC,JC,6S,JS,6D,loss
7H,QH,JH,8C,7C,TC,TS,loss
TH,6H,QH,8D,7C,TS,6S,win
KD,QD,AS,AD,JD,9S,6H,loss
KD,8S,QS,7D,7S,7C,9C,loss
7S,KH,AC,6D,6C,8H,TD,loss
QC,JS,9S,9D,QH,8C,6S,win
9D,QD,6C,6D,KC,TH,6H,loss
KS,8S,7S,7H,6S,AH,AC,loss
TD,QD,9S,8H,7C,KD,TC,loss
7H,AH,7C,6S,QS,QD,8D,win
8C,7D,AS,8H,6S,AH,QD,win
JD,AH,JS,7H,8H,6D,AC,loss
9H,6S,9D,AC,JH,8C,KS,loss
8C,TH,JH,7S,TC,7C,6H,win
6S,6H,AS,QH,AC,TD,8C,win
JC,QD,6S,8D,JS,QH,KH,win
9C,6H,8D,KD,JH,AC,9H,loss
KC,8C,QD,KD,TD,JH,7S,loss
JC,7S,6S,KS,8D,6H,8C,loss
6S,JC,8D,6H,QS,KC,KD,loss
7D,QC,AC,9C,8D,KC,TH,loss
KH,QS,KS,TS,8H,8S,QH,loss
QD,9H,KD,TC,9D,6H,7H,loss
7D,AD,KH,QD,QH,TS,AC,win
8S,JH,6H,JC,7H,9D,KC,win
JD,7D,8D,TC,AH,KC,6S,loss
9H,8S,6D,7H,QD,JC,TS,win
8S,TS,AC,6C,QS,AH,JS,loss
TS,9H,TC,KH,7D,QD,9S,win
JS,JC,TC,8C,AD,JD,TH,win
KS,6H,8C,7D,7C,TC,JD,loss
TC,8H,KH,QS,AS,JC,QH,win
9S,AH,9H,KD,AD,KH,JS,loss
JS,KH,AD,6C,7C,JC,8C,win
7H,8D,QH,8H,8C,AC,KD,win
QH,KS,KC,TC,JS,8C,7H,loss
QD,7C,TH,8H,7D,AD,JD,win
QS,TC,7D,9C,TH,7S,KD,win
8H,JD,TD,6C,QS,6S,KS,loss
JS,6S,TH,KS,TD,QC,7C,loss
7D,JH,7S,9C,AH,AC,KC,win
QS,JC,TC,9C,7D,6C,9S,loss
9H,6H,8C,JD,7S,6D,TH,win
8C,7D,KS,7H,KD,TS,6S,win
QS,KC,TS,8D,TC,JD,9D,win
KH,QC,7D,JD,9H,9S,JS,win
QH,8D,7S,7C,TS,QD,9H,loss
TH,JS,QS,KH,9H,6D,JH,win
9D,6S,JC,AD,9H,TH,AC,loss
KD,8S,QH,6C,7S,KH,JS,loss
QC,9D,6D,QD,8H,KH,KS,win
KD,6C,QH,8S,6D,JC,AD,loss
QD,KS,AS,7H,TD,JC,7D,loss
8S,QH,KD,AS,7C,KC,AH,loss
9H,9C,AC,QS,7C,JH,8D,loss
AS,8H,KS,8D,7S,6C,8S,win
8S,8D,KS,JD,AD,6H,KH,win
KS,7S,QD,8S,JH,KD,9C,loss
9D,6H,JH,TC,TD,6S,KC,win
QH,6D,JS,JH,8C,9C,JD,loss
TD,8H,QH,8S,7H,KH,KS,win
QD,6S,7S,TH,JC,QH,AD,win
8C,AH,TC,AS,KH,6S,TD,loss
QH,JC,KD,6C,KC,TC,AH,win
QD,8D,7H,8S,AD,KH,9D,loss
6D,QD,TD,AC,6S,9H,QS,loss
JS,QS,KS,7C,9S,8S,JH,win
KD,8H,7D,9H,TH,8C,7C,loss
TH,AS,8D,9H,QS,TD,JD,win
KC,TC,AD,KD,7D,9D,KS,win
KC,6C,TH,8H,7H,KH,TS,loss
8C,QC,7D,QD,QH,JH,9S,win
TS,AC,7S,JC,9S,8S,KD,win
9D,TC,8D,TS,7H,JD,7S,win
8C,QH,TD,QS,6C,7S,KS,loss
9S,KH,TH,8D,8C,8S,9C,loss
8D,KS,JD,7H,6D,AS,6S,loss
AS,8D,8S,KD,QD,QC,8C,win
TH,QC,8D,QD,KD,6D,9C,loss
TS,TH,6C,8S,6H,8C,7C,loss
QH,KC,6S,JC,TH,6C,JD,loss
8S,QD,TH,AD,7S,JD,8D,loss
9D,AS,JD,AD,9C,JH,AH,win
6S,9C,8D,KC,KD,JS,TH,loss
AS,7C,JD,6H,8S,8C,KC,loss
9D,JS,9H,9S,6C,QD,QC,win
QS,8S,6C,JC,QC,8H,AD,loss
7H,JC,9S,7C,8S,QS,9D,loss
6S,9S,7D,TC,8S,QS,KC,win
JS,TD,TH,7S,8H,QH,7H,win
9D,6D,8H,9S,7C,AC,KH,loss
JC,QH,9H,8H,7S,KD,9C,loss
6S,AS,8D,QD,AH,TH,KH,loss
KS,9D,AD,8D,8S,8C,KD,win
KC,QH,QS,9C,KS,QC,QD,win
TC,AS,8H,TS,KC,QH,6S,loss
8H,9D,8D,6S,AD,JD,6D,win
6C,9D,6H,TC,AH,8C,KC,loss
QH,7S,QD,9H,JD,KS,JC,loss
AD,KH,QD,7H,AC,QC,8C,win
9C,TC,6C,QC,8C,QH,6H,win
9S,6H,JC,AH,AC,QC,KS,loss
TD,AH,JS,JD,7D,9S,TC,loss
9S,AH,JH,7S,TH,TC,8C,loss
7C,7S,QS,JC,7D,AH,TH,win
6S,AC,7D,9S,JD,AD,9H,win
QS,JH,6H,8H,KC,7H,TS,loss
JH,6C,KD,KC,7D,9D,7H,loss
JS,8C,AS,7S,QD,AC,6S,loss
TH,AD,JH,QH,KC,7S,6C,win
6H,8D,7S,9H,QH,JC,KD,loss
8C,AH,6C,6H,AS,TS,9C,win
TC,JS,9C,KD,6S,TD,8C,loss
8D,QC,KD,7H,JS,KH,QS,win
JH,6H,8H,6S,7H,9S,8S,loss
6C,8C,7C,8H,7D,7H,TD,win
JH,QH,TC,QC,QD,6C,JD,win
9S,6D,6S,9C,KC,QC,AH,win
8S,JH,QD,7C,9S,8D,7S,win
7S,TC,8S,TD,JC,KC,7H,loss
6D,8H,7C,KH,6C,9D,KC,loss
AC,7S,9D,KD,AH,7D,9C,win
TC,KD,6H,TS,9S,TD,QC,win
KH,QH,8S,7H,AD,6S,TC,loss
6S,TS,8H,9C,7H,TC,7D,win
7D,JC,AH,8C,7S,JH,AD,win
8D,7D,9C,7H,TC,QC,8C,win
TH,AC,7D,TD,JS,TS,AS,win
JH,JD,7C,KS,TD,8D,QS,loss
7D,AC,7H,7S,9D,KD,8H,win
6D,7H,JS,6H,9C,QC,QD,win
7D,QS,7C,AC,AH,8H,KC,loss
TD,9H,9D,KS,6S,AS,AH,loss
7H,QD,KD,6H,QS,9S,QC,win
7H,TD,TH,9C,JH,JC,8S,win
JH,QD,8S,7H,TC,QS,8D,win
QD,9S,6D,TS,JD,TH,KD,win
KD,7S,JC,KC,QC,QH,7C,win
TH,6D,6H,JH,AD,TC,JC,win
7H,8C,7C,7S,9D,KD,6S,win
QH,8S,7C,KC,QC,6H,TH,loss
8D,6C,AH,QH,JS,7D,7S,loss
9C,TC,KH,8S,JS,QS,KD,win
8C,AH,TD,6S,8H,AD,KH,win
QC,7S,AD,KH,9D,QD,8D,win
AH,9C,9D,QC,KS,9H,QD,win
6D,KC,7S,TC,8D,8S,6H,loss
8S,7C,QH,6H,JH,8H,JD,loss
8D,JH,KD,8S,AS,KS,8H,win
9D,6C,KS,8S,JH,7C,AC,loss
7D,6S,TC,8C,KS,8S,6D,loss
7C,9H,JD,QC,QS,KH,9C,loss
7H,7D,KS,AH,6C,7S,8C,win
AC,JS,QS,7C,JC,9H,AH,win
JH,8H,QS,KC,7D,TS,TC,loss
6S,7H,9C,AD,9H,QD,6H,win
KC,6H,7S,6D,TS,7C,8H,loss
KS,9S,AH,QH,8S,7S,QS,win
8D,JH,8S,JS,6S,TC,6C,win
AD,QD,AS,TH,QC,9D,7C,win
AS,7C,TH,JS,9S,9D,7S,loss
AC,QS,AH,TD,KD,9D,9S,win
TS,KH,9C,KD,TC,6D,AH,win
7C,AD,6D,8S,7H,QC,TH,loss
KD,8H,8D,JC,6S,QH,JS,win
9D,JS,9S,8S,KS,KC,AD,win
9C,AD,TC,TH,7H,AC,QD,win
JC,8S,7D,6S,KD,KS,TH,loss
8C,QC,TH,JS,9C,JC,KC,win
KD,8D,9S,JC,AC,7D,KC,win
JC,JH,AH,6C,6S,7S,8S,win
QD,8H,JS,6H,8C,JD,AH,loss
TC,8C,AD,JD,JC,7H,9C,win
8D,JS,QH,AS,KC,6C,AD,loss
QC,QH,JD,TH,KD,TD,AD,loss
QH,6C,JS,KS,9S,6D,AS,loss
8H,8S,6S,QS,AH,KS,TC,win
TD,JS,9C,6D,8C,JD,JH,loss
TS,TC,QH,KD,9S,7C,AH,win
JS,6C,AH,6H,9D,8S,QS,loss
JH,7H,6S,9H,QD,TS,9S,loss
QS,8D,7S,TH,AS,9H,6C,win
6D,AS,7C,TC,8H,7S,QS,loss
JD,TS,9D,6C,TC,KC,JH,loss
QC,6H,7H,7D,6D,7S,KD,win
TS,QD,7D,TC,7S,AC,9S,loss
8H,JH,6D,KH,9S,AD,TC,loss
QS,8S,AS,AH,6C,JH,7H,loss
8C,TD,TH,7D,AS,TC,TS,win
9H,KS,AH,QH,8H,9S,QS,win
6C,AH,JD,9H,8C,7C,8H,loss
QD,TH,KD,9D,JS,6D,8S,win
KS,9D,6S,TH,JH,QD,7H,win
TS,9H,TC,AS,JS,JD,KH,loss
KH,JH,9D,JC,9C,JD,KD,win
QH,AC,8C,8H,9S,AH,9C,loss
9S,JS,8H,KH,JH,7D,KD,win
TC,6C,8C,9C,7H,AD,8D,win
9S,JC,9C,KC,QS,7S,6D,win
8H,7D,8S,KS,AD,KD,AC,loss
QH,JC,8D,KC,7S,AD,TD,win
8D,AH,7H,TH,6S,JD,9S,win
JS,AS,JC,KS,QS,JD,QH,win
TH,AD,KD,8C,QD,TD,AC,win
8S,TC,7S,9C,7C,9H,8C,win
8D,TH,KH,7S,JS,9C,QD,win
9S,QS,9C,6D,8H,9D,TC,win
7C,AH,9S,9D,KS,AD,6S,loss
6S,KH,AC,JS,8D,8H,8S,loss
9C,8S,KC,JD,QD,QH,9H,loss
8C,8D,AC,6D,KS,9D,AS,loss
AS,KD,8H,QH,TD,KC,6D,loss
JS,KD,6C,TC,TS,QC,7D,loss
KH,7S,7D,AS,QH,TC,9H,win
9C,JD,QC,9S,QS,QD,9H,loss
KD,JS,9H,TH,QS,6D,8H,win
TD,AC,8D,AS,7S,9D,JH,win
7D,AH,8C,JS,KH,9H,AS,loss
TD,6C,KH,8S,9C,8C,JS,loss
7D,KS,7S,TH,7H,9C,7C,win
7C,6C,JS,AH,9H,QH,AC,loss
QS,QD,6C,KD,TC,JC,9H,win
9C,8D,AH,TH,6S,QS,7S,win
TC,7H,AD,AC,AH,8H,JD,loss
8D,6S,QH,6H,7S,9C,TD,win
AH,QS,6H,9S,6D,6S,AS,win
6H,JH,QD,TS,7S,8D,AS,loss
8H,KC,TD,KS,7D,9S,KH,win
6S,JD,JS,6H,9C,KS,QC,win
KC,AC,8C,QC,6S,KH,JS,win
JC,9S,9D,7H,6S,AH,KH,win
7D,8C,8D,7C,KH,KD,QC,win
9C,QD,8S,9H,9D,QS,KD,win
6S,KD,9H,6C,9C,JD,AS,loss
6D,6H,7C,JH,JS,QS,7D,loss
AS,8S,6C,JS,JC,TC,KC,loss
QH,9C,7S,KC,6H,QC,KD,loss
AH,AC,QD,9S,6D,6H,7D,loss
KC,QS,AH,9S,8D,AS,TD,loss
QC,QH,7H,AH,KD,AS,7D,loss
8C,QS,6H,JD,QD,TS,QC,win
8H,TD,AC,KH,JC,8D,QD,win
6C,9H,KH,9D,6H,QC,KD,loss
TS,QS,TH,9H,JH,KC,6S,win
TD,AD,6D,TC,AS,KD,6H,win
8C,7D,AD,6D,6S,JH,7H,win
KH,7D,KS,8H,QD,AC,8C,loss
KD,AH,KH,6D,8S,TS,8C,win
KC,AD,8C,7S,9C,TS,9H,loss
AC,9H,JH,TS,8H,QC,JC,win
QC,JD,9S,8D,8H,TH,AC,win
KD,JD,9H,6S,8C,7H,9D,loss
9D,7C,8H,9C,7S,AS,9H,win
9D,9S,TC,TH,AD,JH,8D,win
6S,QS,8D,KC,JS,6H,AH,loss
KH,KS,8C,KC,QC,9S,AD,win
TH,8S,9H,7D,8D,KH,8C,win
9H,TS,QD,9C,AS,6D,7S,win
7H,8H,7D,AC,JS,AH,8C,loss
9D,KD,TC,8C,8S,JS,9C,loss
AH,8C,TS,9C,7S,7H,JH,win
KH,JD,KC,6S,8H,KS,8C,win
AS,JH,7C,9H,JD,KC,9S,loss
KD,KC,7C,AC,KS,QD,JS,win
7D,7H,7C,6D,AD,TC,KD,win
KS,KH,7S,JC,6D,AH,QC,loss
JC,KH,AS,QC,6H,TH,8D,win
9D,6S,JS,TC,QD,8H,8D,win
6D,8D,TH,7C,QC,AH,QS,loss
KH,6H,8H,QC,JS,AS,7C,loss
QH,9S,8D,TS,AC,9H,KS,loss
7C,9C,JS,AH,9S,AD,8S,win
JH,TC,6H,TD,9S,JC,KS,loss
QD,6S,TC,7H,KH,JS,QH,loss
6H,6D,JC,KC,AD,JS,QC,loss
8H,QC,QH,JS,9C,KD,QD,win
6C,9H,AC,6S,TH,8D,JC,loss
JD,JH,JS,9D,9C,TD,9H,win
AH,QS,KC,7S,8C,8H,9C,loss
8D,8H,KH,QC,JH,AC,9C,loss
7S,AC,9S,KS,QH,KH,AD,loss
AD,6C,JD,TS,7S,QD,6D,loss
KD,6H,JS,7H,9D,QH,JC,loss
6C,TH,JD,QC,7D,KC,9C,win
TC,KD,JH,8S,7C,QS,QC,loss
QH,6H,TC,7D,TD,AC,8D,loss
JD,9H,QS,TH,7D,6D,QC,loss
6D,AH,AS,TH,9S,8S,KD,loss
QS,AH,TS,6H,AD,9H,TC,win
8H,KS,9H,TH,8D,AH,9C,loss
QH,8S,AH,QC,TC,7H,7C,win
QH,QC,KC,6S,7D,QS,9H,win
TH,9H,9C,7D,QH,6S,JD,loss
7D,TS,9H,9S,6S,TC,8S,win
7D,9D,6C,KH,KC,TC,AS,loss
9H,KC,QD,7C,JD,8D,KS,loss
KS,JS,JH,8S,TH,7H,JD,win
6D,AC,KC,6H,6S,QH,8H,win
AS,QD,QS,KH,9D,9H,KD,win
AH,TC,KD,JS,6H,8D,9S,loss
AH,9S,9C,JC,6C,TS,QC,win
8C,TS,9S,7C,9C,8H,QC,loss
KH,JD,QD,AD,9C,8S,TD,win
8C,8H,6C,7C,QD,QC,6S,win
JS,6S,TD,6C,TS,AD,7D,loss
7H,JH,AC,8C,6H,TD,KS,loss
9C,6D,TC,8D,QD,6C,KS,win
QC,9H,QD,AH,8S,KD,KC,win
6C,9H,TC,QS,7D,9C,JS,win
JD,AH,QD,8D,7C,9D,6D,win
JH,JS,7C,AS,JD,QD,9S,win
JC,QC,7C,JH,7D,TD,AS,loss
9C,AD,7S,6C,7D,TS,9D,loss
7S,KD,8C,8S,KS,JS,QC,loss
6S,AS,AC,JH,9D,9H,KS,loss
QC,7H,9H,8H,8S,QS,AC,win
KC,9D,6C,QS,9C,7S,JH,win
AH,7S,8C,TD,JD,TC,9D,win
AH,9D,KH,8C,TC,QD,9C,loss
TC,JC,JD,8C,AD,6D,9D,loss
9D,QD,JH,6C,KS,6S,AC,loss
AS,KS,7S,9S,TS,6S,KC,win
KD,JC,AD,8S,6S,8C,TS,loss
TS,9S,6D,KC,JH,9D,QH,win
6C,9C,9D,QC,KD,KS,JS,loss
6D,8C,AD,6C,9S,TD,AH,loss
QD,KC,6C,QH,8C,7S,9S,loss
KC,TS,7C,TD,6S,QH,JC,win
TH,QS,KH,KS,AH,8H,8S,loss
KD,AH,8S,KH,7D,TS,9S,loss
8D,QD,AS,6H,QS,9D,7S,loss
8C,TS,6C,TD,QS,8H,7S,loss
8S,7H,JC,QC,9C,8C,8D,win
QH,AS,6D,KC,QS,AD,JC,win
QS,6D,6S,JC,7D,AD,TD,loss
6C,KC,KD,QD,8D,AS,AC,win
AH,JS,AD,6D,AC,7C,JH,win
QD,TH,TS,TD,TC,AC,9S,win
TD,6D,7S,7D,8H,KH,QD,loss
AC,TC,9S,JS,QD,7C,6H,loss
8C,QD,KS,9S,TS,QH,8D,win
QD,QC,8D,JD,6C,TC,6D,win
9H,QD,7H,TD,6C,TC,8D,win
TH,6D,AC,6C,JH,9D,QS,loss
TD,KS,7H,JC,8D,QS,9D,win
KS,8D,9D,JC,AC,6S,TS,loss
KC,6S,6C,QC,9C,8H,KS,loss
9S,TC,JC,JH,TD,7S,KD,win
6S,AS,6D,TD,8S,JH,JS,loss
AH,TC,AC,QS,6C,9H,QC,win
JS,9H,QS,TH,JH,9S,JC,win
KD,6S,TD,8S,9D,8C,6H,loss
JH,TS,7S,AS,KC,AD,9D,loss
QD,7H,6S,6D,QC,AC,TH,win
KD,8H,AH,8C,TC,TD,6S,win
6H,TH,8D,9D,6S,9S,AH,win
8C,QH,6C,AS,8D,9H,AC,win
7H,7D,7S,QD,QC,TH,7C,win
JC,7C,6D,AH,JD,KH,QC,win
8D,6H,JS,AC,9C,7D,TC,win
JD,TS,TC,7H,JS,6S,QC,win
8S,KD,7C,9C,7H,8H,TH,loss
QS,KD,TD,AD,QC,AH,AS,win
8C,TD,QC,9C,JD,KH,7H,loss
JC,9S,9C,9H,7S,TD,TS,win
QC,JH,QD,7D,9D,8C,AH,win
9S,AD,9H,6C,QH,8S,7C,loss
9D,TH,QS,KH,7C,AC,JC,win
7S,6C,TD,KH,9S,7H,AS,loss
QC,TH,KS,6C,AH,AC,KC,loss
AD,7C,7D,QH,7S,AC,9D,win
AD,KS,TS,6D,KD,7C,JD,loss
9C,QD,8H,KH,KD,QC,JH,loss
9C,9D,QH,AS,8H,7D,QC,win
7D,QS,JD,6D,TH,JH,AS,loss
8D,6C,QD,QH,AD,QS,JD,loss
9H,KS,8H,JC,9D,6C,AC,loss
TC,AH,6D,6S,9S,AD,QD,win
7D,AD,QC,9S,TC,QD,9D,win
KH,TC,AD,TD,KS,9H,KC,win
8H,8C,8D,JD,9H,6C,QC,win
9D,AC,8C,8D,7D,JC,9H,loss
KS,AH,KD,AS,JD,6D,9D,loss
AD,KD,7H,QS,TS,8C,8H,loss
KH,9H,KS,KC,6C,8S,AD,win
TC,8C,6C,8H,KC,9H,9S,win
AS,7S,9C,6C,QS,TH,JC,loss
9H,QD,6H,AS,7C,KD,7H,loss
JS,QH,7C,6C,KC,KD,KS,loss
TC,KS,TH,QC,8S,KC,AH,loss
9S,TC,6H,9H,6S,9D,QH,win
6D,7D,AH,KD,TC,KH,9H,loss
6C,AD,QD,AH,8D,JH,TS,loss
9C,7H,6C,AH,KC,TC,8H,win
8S,JH,AC,QH,8H,7D,9C,win
JD,JS,TC,QS,6C,QC,8C,loss
QS,6C,KD,9D,AS,JC,QH,win
JC,8D,KH,QS,AS,QH,KC,win
6C,7D,KS,QD,JH,9H,TH,win
8H,AC,QD,9D,6H,QC,7S,loss
JD,QS,JS,QC,QH,9H,KS,win
QS,QC,9S,AS,JH,KS,JS,win
